Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
"[""HexCer 18:1;O2/24:0"", ""HexCer 18:1;O2/23:1;O""]",812.6829930727272,264.26912400000003,7.079958333333333,3.0415833333333335,45,Positive
"[""HexCer 18:1;O2/23:0;O""]",814.6772090000001,264.26912400000003,7.720833333333333,1.004999999999999,45,Positive
HexCer 18:1;O/23:0;O2,814.6772090000001,266.284774,8.1075,1.0,45,Positive
"[""HexCer 18:2;O2/25:0"", ""HexCer 18:2;O2/24:1;O""]",824.69612475,262.25347400000004,7.01875,1.0024999999999995,45,Positive
"[""HexCer 18:1;O2/25:0"", ""HexCer 18:1;O2/24:1;O""]",826.7019508,264.26912400000003,7.887499999999999,1.875,45,Positive
"[""Hex2Cer 18:1;O2/14:3""]",828.5473190000001,264.26912400000003,7.725,4.449999999999999,55,Positive
"[""HexCer 18:1;O2/24:0;O""]",828.6928589999999,264.26912400000003,7.977499999999999,0.9999999999999991,45,Positive
"[""Hex2Cer 18:1;O2/14:2""]",830.562969,264.26912400000003,7.906875000000001,1.003750000000001,55,Positive
Hex2Cer 18:0;O2/14:3,830.562969,284.295339,9.75,1.0,55,Positive
"[""Hex2Cer 16:1;O2/16:0""]",834.5942689999999,236.23782400000005,4.8675,1.005,55,Positive
"[""Hex2Cer 18:1;O2/14:0""]",834.5942689999999,264.26912400000003,4.875,1.0,55,Positive
"[""Hex2Cer 18:2;O2/15:2""]",842.562969,262.25347400000004,5.009375,1.0012499999999998,55,Positive
"[""Hex2Cer 18:1;O2/15:2""]",844.578619,264.26912400000003,5.614444444444445,1.0,55,Positive
Hex2Cer 18:0;O3/14:3,846.557884,282.279689,9.93,1.0,55,Positive
"[""Hex2Cer 17:1;O2/16:0"", ""Hex2Cer 17:1;O2/15:1;O""]",848.6081863809526,250.253474,5.26,1.0,55,Positive
Hex2Cer 18:1;O/14:0;O2,850.5891839999999,266.284774,5.73,1.0,55,Positive
"[""Hex2Cer 18:1;O2/16:3""]",856.578619,264.26912400000003,9.81,1.0,55,Positive
"[""Hex2Cer 18:2;O2/16:0"", ""Hex2Cer 18:2;O2/15:1;O""]",860.5971629061422,262.25347400000004,5.0075,1.005,55,Positive
"[""Hex2Cer 18:1;O2/16:1"", ""Hex2Cer 18:1;O2/15:2;O""]",860.5971629061422,264.26912400000003,5.415,1.0,55,Positive
"[""Hex2Cer 18:0;O3/15:2""]",862.5891839999999,282.279689,5.62125,1.0,55,Positive
"[""SHexCer 18:1;O2/22:1""]",862.6078110000001,264.26912400000003,5.610833333333333,1.0,50,Positive
"[""Hex2Cer 18:1;O2/16:0"", ""Hex2Cer 18:1;O2/15:1;O""]",862.6139604523809,264.26912400000003,7.712083333333334,5.195833333333333,55,Positive
"[""HexCer 18:1;O2/28:3""]",862.7135940000002,264.26912400000003,4.74375,2.745000000000001,45,Positive
"[""Hex2Cer 18:1;O/15:0;O2""]",864.604834,266.284774,5.61625,1.0024999999999995,55,Positive
Hex2Cer 18:0;O2/15:1;O,864.604834,284.295339,5.62,1.0,55,Positive
Hex2Cer 16:1;O2/17:0;O,864.604834,236.23782400000005,9.754999999999999,1.0,55,Positive
"[""Hex2Cer 18:1;O2/17:2""]",872.609919,264.26912400000003,6.2575,1.0,55,Positive
Hex2Cer 18:2;O2/17:1,872.609919,262.25347400000004,9.66,1.0,55,Positive
"[""Hex2Cer 18:1;O2/17:1"", ""Hex2Cer 18:1;O2/16:2;O""]",874.6238363809524,264.26912400000003,9.98,1.0,55,Positive
"[""Hex2Cer 18:1;O2/17:0"", ""Hex2Cer 18:1;O2/16:1;O""]",876.6394863809523,264.26912400000003,5.9399999999999995,1.0,55,Positive
"[""Hex2Cer 18:1;O2/16:0;O""]",878.620484,264.26912400000003,5.422499999999999,1.0,55,Positive
"[""Hex2Cer 18:2;O2/18:2""]",884.609919,262.25347400000004,6.17,1.0,55,Positive
"[""Hex2Cer 18:0;O2/18:3""]",886.625569,284.295339,5.145,1.0,55,Positive
"[""SHexCer 18:2;O2/24:1"", ""SHexCer 18:2;O2/24:1""]",888.6234609999999,262.25347400000004,5.48125,1.4024999999999999,50,Positive
"[""SHexCer 18:1;O2/24:2""]",888.623461,264.26912400000003,5.7125,1.0,50,Positive
"[""Hex2Cer 18:0;O2/18:2"", ""Hex2Cer 18:0;O2/17:3;O""]",888.6284629061421,284.295339,5.53,1.0,55,Positive
"[""Hex2Cer 18:1;O2/18:1"", ""Hex2Cer 18:1;O2/17:2;O""]",888.6284629061421,264.26912400000003,5.705,1.0,55,Positive
"[""Hex2Cer 18:2;O2/18:0"", ""Hex2Cer 18:2;O2/17:1;O""]",888.6308232857142,262.25347400000004,5.51,1.4000000000000004,55,Positive
"[""Hex2Cer 18:1;O2/18:0"", ""Hex2Cer 18:1;O2/17:1;O""]",890.6419383436853,264.26912400000003,8.003125,4.49375,55,Positive
Hex2Cer 18:0;O2/20:4,912.641219,284.295339,5.255,1.0,55,Positive
"[""Hex2Cer 18:2;O2/20:0"", ""Hex2Cer 18:2;O2/19:1;O""]",916.6707863809523,262.25347400000004,6.33,1.0,55,Positive
"[""Hex2Cer 18:1;O2/19:0;O""]",920.667434,264.26912400000003,5.615,1.0,55,Positive
"[""Hex2Cer 18:1;O2/20:0;O""]",934.683084,264.26912400000003,9.955,1.0,55,Positive
"[""Hex2Cer 18:1;O2/22:1"", ""Hex2Cer 18:1;O2/21:2;O""]",944.6910629061422,264.26912400000003,6.8100000000000005,1.0,55,Positive
"[""Hex2Cer 16:1;O2/24:1"", ""Hex2Cer 16:1;O2/23:2;O""]",944.7020863809523,236.23782400000005,6.8100000000000005,1.0,55,Positive
"[""Hex2Cer 18:2;O2/22:0"", ""Hex2Cer 18:2;O2/21:1;O""]",944.7020863809524,262.25347400000004,6.89,1.0,55,Positive
"[""Hex2Cer 18:0;O3/21:2""]",946.683084,282.279689,7.32,1.0,55,Positive
SHexCer 18:1;O2/28:1,946.701711,264.26912400000003,5.630000000000001,1.0,50,Positive
"[""Hex2Cer 18:1;O2/22:0"", ""Hex2Cer 18:1;O2/21:1;O""]",946.7177363809524,264.26912400000003,7.31625,1.0025000000000013,55,Positive
"[""Hex2Cer 18:1;O2/23:2""]",956.703819,264.26912400000003,7.77,1.0,55,Positive
"[""Hex2Cer 18:2;O2/24:2""]",968.703819,262.25347400000004,6.36,1.0,55,Positive
"[""Hex2Cer 18:1;O2/24:2""]",970.719469,264.26912400000003,6.85,1.0,55,Positive
"[""Hex2Cer 18:2;O2/24:1""]",970.719469,262.25347400000004,6.862500000000001,1.005,55,Positive
"[""Hex2Cer 18:1;O2/24:1"", ""Hex2Cer 18:1;O2/23:2;O""]",972.7223629061422,264.26912400000003,7.2749999999999995,1.0099999999999998,55,Positive
"[""Hex2Cer 18:2;O2/24:0"", ""Hex2Cer 18:2;O2/23:1;O""]",972.7223629061422,262.25347400000004,7.37,1.0,55,Positive
"[""Hex2Cer 18:0;O3/23:2""]",974.714384,282.279689,7.785,1.0,55,Positive
"[""Hex2Cer 18:1;O2/24:0"", ""Hex2Cer 18:1;O2/23:1;O""]",974.7380129061421,264.26912400000003,7.78125,1.0075000000000003,55,Positive
