Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
Cer 18:1;O3/25:0,680.655684,280.264039,5.425,1,35,Positive
"[""HexCer 18:1;O2/15:2""]",682.525794,264.269124,4.9325,3.125,45,Positive
"[""Cer 19:1;O2/26:0"", ""Cer 19:1;O2/25:1;O""]",692.6899287,278.284774,9.3425,1,35,Positive
"[""Cer 20:1;O2/25:0"", ""Cer 20:1;O2/24:1;O""]",692.6899287,292.300424,9.37,1,35,Positive
Cer 18:0;O2/27:0,694.707719,284.295339,0.685,1,35,Positive
"[""HexCer 18:2;O2/15:1;O"", ""HexCer 18:2;O2/16:0""]",698.5333335,262.253474,5.4325,1,45,Positive
"[""HexCer 18:1;O2/16:1"", ""HexCer 18:1;O2/15:2;O""]",698.5552748,264.269124,4.094375,1.01125,45,Positive
"[""HexCer 18:0;O3/15:2""]",700.536359,282.279689,5.999375,1.01125,45,Positive
"[""HexCer 18:1;O2/15:1;O"", ""HexCer 18:1;O2/16:0""]",700.547936,264.269124,5.113125,2.75625,45,Positive
Cer 18:0;O3/27:3,704.655684,282.279689,5.62,1,35,Positive
"[""HexCer 18:1;O2/17:2""]",710.557094,264.269124,4.62375,1,45,Positive
Cer 16:0;O3/29:0,710.702634,254.248389,4.63,1,35,Positive
"[""HexCer 18:1;O2/16:0;O""]",716.567659,264.269124,4.950625,2.70625,45,Positive
HexCer 18:0;O3/16:1,716.567659,282.279689,5.8025,1,45,Positive
"[""Cer 18:0;O3/28:1""]",722.702634,282.279689,7.51,1.35,35,Positive
"[""HexCer 18:2;O2/18:0"", ""HexCer 18:2;O2/17:1;O""]",726.5865748,262.253474,6.0725,1,45,Positive
"[""HexCer 18:0;O3/18:3""]",740.567659,282.279689,7.50875,1.3525,45,Positive
"[""HexCer 18:1;O2/20:0"", ""HexCer 18:1;O2/19:1;O""]",756.6225541,264.269124,7.121666667,1.008333333,45,Positive
"[""HexCer 16:1;O2/22:0"", ""HexCer 16:1;O2/21:1;O""]",756.6225541,236.237824,7.156875,1.00375,45,Positive
"[""SHexCer 18:1;O2/15:2""]",762.482611,264.269124,4.231666667,1,50,Positive
"[""HexCer 18:1;O2/21:2""]",766.619694,264.269124,7.628229167,1.000208333,45,Positive
"[""HexCer 17:1;O2/22:0"", ""HexCer 17:1;O2/21:1;O""]",770.6382041,250.253474,7.383333333,1,45,Positive
"[""HexCer 18:1;O2/20:0;O""]",772.630259,264.269124,6.988333333,1,45,Positive
SHexCer 18:1;O2/16:3,774.482611,264.269124,8.9575,1,50,Positive
SHexCer 18:2;O2/16:0,778.513911,262.253474,5.45625,1,50,Positive
"[""SHexCer 18:1;O2/16:0""]",780.529561,264.269124,4.233888889,1,50,Positive
"[""HexCer 18:1;O2/22:2""]",780.635344,264.269124,6.048263889,4.633194444,45,Positive
"[""HexCer 18:2;O2/22:0"", ""HexCer 18:2;O2/21:1;O""]",782.6382041,262.253474,7.1946875,1.003125,45,Positive
"[""HexCer 16:1;O2/24:1"", ""HexCer 16:1;O2/23:2;O""]",782.6491748,236.237824,7.123333333,1,45,Positive
HexCer 18:1;O2/22:1,782.650994,264.269124,7.486666667,1,45,Positive
"[""HexCer 18:0;O3/21:2""]",784.630259,282.279689,7.6309375,1.000625,45,Positive
"[""HexCer 18:1;O2/22:0"", ""HexCer 18:1;O2/21:1;O""]",784.6648248,264.269124,7.624047619,1.004761905,45,Positive
"[""HexCer 16:1;O2/24:0"", ""HexCer 16:1;O2/23:1;O""]",784.6648248,236.237824,7.652916667,1.000833333,45,Positive
HexCer 18:1;O/21:0;O2,786.645909,266.284774,7.628333333,1,45,Positive
"[""HexCer 18:1;O2/23:3""]",792.635344,264.269124,7.5896875,1.002708333,45,Positive
"[""HexCer 18:1;O2/23:2""]",794.650994,264.269124,8.099791667,1.002083333,45,Positive
"[""HexCer 18:2;O2/23:0"", ""HexCer 18:2;O2/22:1;O""]",796.6538541,262.253474,7.437083333,1.000833333,45,Positive
HexCer 18:2;O2/22:0;O,798.645909,262.253474,7.053333333,1,45,Positive
HexCer 18:0;O3/22:2,798.645909,282.279689,7.8725,1,45,Positive
"[""HexCer 18:1;O2/22:1;O"", ""HexCer 18:1;O2/23:0""]",798.6585335,264.269124,7.86375,1.005,45,Positive
"[""HexCer 17:1;O2/24:0"", ""HexCer 17:1;O2/23:1;O""]",798.6804748,250.253474,7.883125,1.00375,45,Positive
"[""HexCer 18:1;O2/22:0;O""]",800.661559,264.269124,7.34125,4.4675,45,Positive
"[""HexCer 18:1;O2/24:2""]",808.666644,264.269124,7.130833333,1,45,Positive
"[""HexCer 18:2;O2/24:1""]",808.666644,262.253474,7.152083333,1.009166667,45,Positive
"[""HexCer 18:2;O2/24:0"", ""HexCer 18:2;O2/23:1;O""]",810.6695041,262.253474,7.6775,1.005,45,Positive
"[""HexCer 18:1;O2/24:1"", ""HexCer 18:1;O2/23:2;O""]",810.6804748,264.269124,7.588541667,1.00375,45,Positive
"[""HexCer 18:0;O3/23:2""]",812.661559,282.279689,8.10625,1.005833333,45,Positive
"[""HexCer 18:1;O2/24:0"", ""HexCer 18:1;O2/23:1;O""]",812.6829931,264.269124,7.079958333,3.041583333,45,Positive
"[""HexCer 18:1;O2/23:0;O""]",814.677209,264.269124,7.720833333,1.005,45,Positive
HexCer 18:1;O/23:0;O2,814.677209,266.284774,8.1075,1,45,Positive
"[""HexCer 18:2;O2/25:0"", ""HexCer 18:2;O2/24:1;O""]",824.6961248,262.253474,7.01875,1.0025,45,Positive
"[""HexCer 18:1;O2/25:0"", ""HexCer 18:1;O2/24:1;O""]",826.7019508,264.269124,7.8875,1.875,45,Positive
"[""Hex2Cer 18:1;O2/14:3""]",828.547319,264.269124,7.725,4.45,55,Positive
"[""HexCer 18:1;O2/24:0;O""]",828.692859,264.269124,7.9775,1,45,Positive
"[""Hex2Cer 18:1;O2/14:2""]",830.562969,264.269124,7.906875,1.00375,55,Positive
Hex2Cer 18:0;O2/14:3,830.562969,284.295339,9.75,1,55,Positive
"[""Hex2Cer 16:1;O2/16:0""]",834.594269,236.237824,4.8675,1.005,55,Positive
"[""Hex2Cer 18:1;O2/14:0""]",834.594269,264.269124,4.875,1,55,Positive
"[""Hex2Cer 18:2;O2/15:2""]",842.562969,262.253474,5.009375,1.00125,55,Positive
"[""Hex2Cer 18:1;O2/15:2""]",844.578619,264.269124,5.614444444,1,55,Positive
Hex2Cer 18:0;O3/14:3,846.557884,282.279689,9.93,1,55,Positive
"[""Hex2Cer 17:1;O2/16:0"", ""Hex2Cer 17:1;O2/15:1;O""]",848.6081864,250.253474,5.26,1,55,Positive
Hex2Cer 18:1;O/14:0;O2,850.589184,266.284774,5.73,1,55,Positive
"[""Hex2Cer 18:1;O2/16:3""]",856.578619,264.269124,9.81,1,55,Positive
"[""Hex2Cer 18:2;O2/16:0"", ""Hex2Cer 18:2;O2/15:1;O""]",860.5971629,262.253474,5.0075,1.005,55,Positive
"[""Hex2Cer 18:1;O2/16:1"", ""Hex2Cer 18:1;O2/15:2;O""]",860.5971629,264.269124,5.415,1,55,Positive
"[""Hex2Cer 18:0;O3/15:2""]",862.589184,282.279689,5.62125,1,55,Positive
"[""SHexCer 18:1;O2/22:1""]",862.607811,264.269124,5.610833333,1,50,Positive
"[""Hex2Cer 18:1;O2/16:0"", ""Hex2Cer 18:1;O2/15:1;O""]",862.6139605,264.269124,7.712083333,5.195833333,55,Positive
"[""Hex2Cer 18:1;O/15:0;O2""]",864.604834,266.284774,5.61625,1.0025,55,Positive
Hex2Cer 18:0;O2/15:1;O,864.604834,284.295339,5.62,1,55,Positive
Hex2Cer 16:1;O2/17:0;O,864.604834,236.237824,9.755,1,55,Positive
"[""Hex2Cer 18:1;O2/17:2""]",872.609919,264.269124,6.2575,1,55,Positive
Hex2Cer 18:2;O2/17:1,872.609919,262.253474,9.66,1,55,Positive
"[""Hex2Cer 18:1;O2/17:1"", ""Hex2Cer 18:1;O2/16:2;O""]",874.6238364,264.269124,9.98,1,55,Positive
"[""Hex2Cer 18:1;O2/17:0"", ""Hex2Cer 18:1;O2/16:1;O""]",876.6394864,264.269124,5.94,1,55,Positive
"[""Hex2Cer 18:1;O2/16:0;O""]",878.620484,264.269124,5.4225,1,55,Positive
"[""Hex2Cer 18:2;O2/18:2""]",884.609919,262.253474,6.17,1,55,Positive
"[""Hex2Cer 18:0;O2/18:3""]",886.625569,284.295339,5.145,1,55,Positive
"[""SHexCer 18:2;O2/24:1"", ""SHexCer 18:2;O2/24:1""]",888.623461,262.253474,5.48125,1.4025,50,Positive
"[""SHexCer 18:1;O2/24:2""]",888.623461,264.269124,5.7125,1,50,Positive
"[""Hex2Cer 18:0;O2/18:2"", ""Hex2Cer 18:0;O2/17:3;O""]",888.6284629,284.295339,5.53,1,55,Positive
"[""Hex2Cer 18:1;O2/18:1"", ""Hex2Cer 18:1;O2/17:2;O""]",888.6284629,264.269124,5.705,1,55,Positive
